product,plant,availability_check_type,profit_center,mrp_type,_source_file,_source_row
S8907367010814,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,1
S8907367010814,PB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,2
S8907367010814,PB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,3
S8907367010814,RJ07,NC,ABC001,ND,part-20251119-133439-232.jsonl,4
S8907367010814,TL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,5
S8907367010814,TL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,6
S8907367010814,TM05,NC,ABC001,ND,part-20251119-133439-232.jsonl,7
S8907367010814,TM07,NC,ABC001,ND,part-20251119-133439-232.jsonl,8
S8907367010814,UP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,9
S8907367010814,UP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,10
S8907367010814,WB05,NC,ABC001,ND,part-20251119-133439-232.jsonl,11
S8907367010814,WB07,NC,ABC001,ND,part-20251119-133439-232.jsonl,12
S8907367011866,1001,NC,ABC001,ND,part-20251119-133439-232.jsonl,13
S8907367011866,1002,NC,ABC001,ND,part-20251119-133439-232.jsonl,14
S8907367011866,1003,NC,ABC001,ND,part-20251119-133439-232.jsonl,15
S8907367011866,1005,NC,ABC001,ND,part-20251119-133439-232.jsonl,16
S8907367011866,1006,NC,ABC001,ND,part-20251119-133439-232.jsonl,17
S8907367011866,1007,NC,ABC001,ND,part-20251119-133439-232.jsonl,18
S8907367011866,1010,NC,ABC001,ND,part-20251119-133439-232.jsonl,19
S8907367011866,1011,NC,ABC001,ND,part-20251119-133439-232.jsonl,20
S8907367011866,1012,NC,ABC001,ND,part-20251119-133439-232.jsonl,21
S8907367011866,1301,NC,ABC001,ND,part-20251119-133439-232.jsonl,22
S8907367011866,1302,NC,ABC001,ND,part-20251119-133439-232.jsonl,23
S8907367011866,1303,NC,ABC001,ND,part-20251119-133439-232.jsonl,24
S8907367011866,1920,NC,ABC001,ND,part-20251119-133439-232.jsonl,25
S8907367011866,1921,NC,ABC001,ND,part-20251119-133439-232.jsonl,26
S8907367011866,1922,NC,ABC001,ND,part-20251119-133439-232.jsonl,27
S8907367011866,AP05,NC,ABC001,ND,part-20251119-133439-232.jsonl,28
S8907367011866,AS05,NC,ABC001,ND,part-20251119-133439-232.jsonl,29
S8907367011866,BH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,30
S8907367011866,CH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,31
S8907367011866,DL05,NC,ABC001,ND,part-20251119-133439-232.jsonl,32
S8907367011866,DL07,NC,ABC001,ND,part-20251119-133439-232.jsonl,33
S8907367011866,GJ05,NC,ABC001,ND,part-20251119-133439-232.jsonl,34
S8907367011866,HR00,NC,ABC001,ND,part-20251119-133439-232.jsonl,35
S8907367011866,HR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,36
S8907367011866,HR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,37
S8907367011866,JH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,38
S8907367011866,KA05,NC,ABC001,ND,part-20251119-133439-232.jsonl,39
S8907367011866,KA07,NC,ABC001,ND,part-20251119-133439-232.jsonl,40
S8907367011866,KR05,NC,ABC001,ND,part-20251119-133439-232.jsonl,41
S8907367011866,KR07,NC,ABC001,ND,part-20251119-133439-232.jsonl,42
S8907367011866,MH05,NC,ABC001,ND,part-20251119-133439-232.jsonl,43
S8907367011866,MH07,NC,ABC001,ND,part-20251119-133439-232.jsonl,44
S8907367011866,MP07,NC,ABC001,ND,part-20251119-133439-232.jsonl,45
