source,target,edge_type,confidence,fk_columns,ref_columns,note
sales_order_headers::740506,business_partners::310000108,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740507,business_partners::310000109,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740508,business_partners::310000109,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740509,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740510,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740511,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740512,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740513,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740514,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740515,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740516,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740517,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740518,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740519,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740520,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740521,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740522,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740523,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740524,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740525,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740526,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740527,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740528,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740529,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740530,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740531,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740532,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740533,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740534,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740535,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740536,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740537,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740538,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740539,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740540,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740541,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740542,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740543,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740544,business_partners::320000082,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740545,business_partners::320000088,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740546,business_partners::320000085,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740547,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740548,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740549,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740550,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740551,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740552,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740553,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740554,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740555,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740556,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740557,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740558,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740559,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740560,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740561,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
sales_order_headers::740562,business_partners::320000083,sales_order_headers->business_partners,high,['sold_to_party'],['business_partner'],
